question,type,topic,spam,phishing
"What factors do you think contributed to your overall satisfaction with our service, and how could we improve to meet your expectations in the future?",open-ended,customer satisfaction,False,False
What do you think we could do to surpass your expectations and provide an even better overall experience with our products or services?,open-ended,customer satisfaction,False,False
"What do you think we could do to improve your overall experience with our company, and what would make you more likely to recommend us to others?",open-ended,customer satisfaction,False,False
"What do you value most about your recent experience with our company, and how did we meet or exceed those expectations?",open-ended,customer satisfaction,False,False
"What do you value most about your experience with our company, and how do we measure up to those expectations?",open-ended,customer satisfaction,False,False
"What factors contributed to your overall satisfaction with our product/service, and how did we meet or exceed your expectations?",open-ended,customer satisfaction,False,False
"What have we done well, and what can we improve on to further exceed your expectations and enhance your overall experience with our company?",open-ended,customer satisfaction,False,False
What do you think is the most significant factor that contributes to your overall satisfaction or dissatisfaction with our product or service?,open-ended,customer satisfaction,False,False
"What did you find most impressive about your recent interaction with our company, and how did it impact your overall satisfaction with our service?",open-ended,customer satisfaction,False,False
"What did we do well, and what could we improve on to enhance your overall satisfaction with our product or service?",open-ended,customer satisfaction,False,False
"What did you like most about your recent experience with our product, and how do you think we could improve it to meet your future needs?",open-ended,product feedback,False,False
"What did you like most about our product, and how has it impacted your satisfaction with our brand?",open-ended,product feedback,False,False
What do you think we could improve about the product to make it more enjoyable and useful for you?,open-ended,product feedback,False,False
"What do you think are the most significant strengths and weaknesses of our new product, and how can we improve it to better meet your needs?",open-ended,product feedback,False,False
"What do you think is the most valuable feature of our product, and how do you currently use it to achieve your goals?",open-ended,product feedback,False,False
What do you think is the most significant improvement we could make to our product to better meet your needs and expectations?,open-ended,product feedback,False,False
"What do you like most about our product, and how has it impacted your experience with our brand?",open-ended,product feedback,False,False
What aspects of our product do you think could be improved to better meet your needs and expectations?,open-ended,product feedback,False,False
"What do you like most about this product, and how has it impacted your experience with our brand?",open-ended,product feedback,False,False
"What do you think are the most significant benefits and drawbacks of using our product, and how do you think we could improve it to better meet your needs and expectations?",open-ended,product feedback,False,False
"What do you believe are the most important factors that contribute to your sense of fulfillment and motivation in your role, and how do you think the organization can better support these factors?",open-ended,employee engagement,False,False
"What does being part of our company culture mean to you, and how do you feel it impacts your job satisfaction and overall well-being?",open-ended,employee engagement,False,False
"What do you think are the most effective ways for your organization to demonstrate its commitment to your well-being and job satisfaction, and how do you currently see this commitment being demonstrated?",open-ended,employee engagement,False,False
"What do you think are the most important factors that contribute to your sense of fulfillment and job satisfaction, and how do you currently experience these factors in your role?",open-ended,employee engagement,False,False
"What does a highly engaged workspace look like to you, and what factors contribute to creating an environment where you feel motivated, motivated, and committed to your work?",open-ended,employee engagement,False,False
"What do you believe are the most significant factors that contribute to your sense of purpose and motivation at work, and how do you think the organization could better support and nurture these factors?",open-ended,employee engagement,False,False
"What do you think are the most effective ways for our organization to show appreciation and recognition to employees, and how do you believe this would impact your job satisfaction and overall engagement?",open-ended,employee engagement,False,False
"What are the most important factors that influence your motivation and job satisfaction at work, and how do you think the organization can better support and recognize your contributions?",open-ended,employee engagement,False,False
